Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
76,3.04,181.66152100396098,-4.710410206053715,0.055399800423253424,2751.7958211250893,2.5,2.5,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
77,3.08,165.0677402132702,-4.725178535869995,0.05730748789122754,2500.4344079643297,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
78,3.12,180.33508546737045,-4.730394508857971,0.05656349469405948,2731.7030698015874,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
79,3.16,188.13807557428063,-4.735493152078816,0.05606752830314742,2849.902209882594,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
80,3.2,181.82978863773874,-4.742317598745614,0.05754590701454058,2754.344727293557,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
81,3.24,173.43471876979717,-4.747253229664672,0.05915825811372167,2627.1768050336136,2.0,2.0,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
82,3.28,181.74146240506315,-4.749673082387459,0.05799949232072396,2753.0067677926722,2.0,2.0,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
83,3.32,186.18472985135747,-4.751676108753765,0.05706431953155062,2820.3130675708585,2.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
84,3.36,191.15618987571287,-4.751851061457336,0.056072241875407824,2895.620391016715,2.5,2.5,4,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
85,3.4,195.269346053557,-4.752171200055794,0.05513351852039786,2957.9261887402713,2.0,2.0,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
86,3.44,189.24813545771698,-4.756770177162579,0.0561447653750334,2866.7173181760677,2.5,2.5,4,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
87,3.48,182.3824952549413,-4.760267490238745,0.05713127987687745,2762.717087885501,2.0,2.0,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
88,3.52,183.36045071609686,-4.762110919128177,0.05689421716947955,2777.531087770461,2.0,2.0,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
89,3.56,182.339420961334,-4.762848090561621,0.05700072042322117,2762.0646015444677,2.0,2.0,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
90,3.6,177.73050709113133,-4.762356338189258,0.05778425830619244,2692.2491014987936,2.5,2.5,4,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
91,3.64,177.13261821496624,-4.76318351878015,0.05783185880121025,2683.192323256293,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
92,3.68,174.48940776405507,-4.763812334604371,0.058409481457838475,2643.153159029473,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
93,3.72,173.6379810902971,-4.76529674665011,0.058605289427366564,2630.255808231719,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
