frame,persistent_tracked_points,persistent_points_after_refresh,redetect_points,persistent_inliers,redetect_inliers,persistent_affine_ok,redetect_affine_ok,persistent_reinitialized
537,258,258,300,258,300,True,True,False
538,258,258,300,258,300,True,True,False
539,258,258,300,258,300,True,True,False
540,258,258,300,258,300,True,True,False
541,258,258,300,258,300,True,True,False
542,258,258,300,258,300,True,True,False
543,258,258,300,258,300,True,True,False
544,258,258,300,258,300,True,True,False
545,258,258,300,258,300,True,True,False
546,258,258,300,258,300,True,True,False
547,258,258,300,258,300,True,True,False
548,258,258,300,258,300,True,True,False
549,258,258,300,258,300,True,True,False
550,258,258,300,258,300,True,True,False
551,258,258,300,258,300,True,True,False
552,258,258,300,258,300,True,True,False
553,258,258,300,258,300,True,True,False
554,258,258,300,258,300,True,True,False
555,258,258,300,258,300,True,True,False
556,258,258,300,258,300,True,True,False
557,258,258,300,258,300,True,True,False
558,258,258,300,258,300,True,True,False
559,258,258,300,258,300,True,True,False
560,258,258,300,258,300,True,True,False
561,258,258,300,258,300,True,True,False
562,258,258,300,258,300,True,True,False
563,258,258,300,258,300,True,True,False
564,258,258,300,258,300,True,True,False
565,258,258,300,258,300,True,True,False
566,258,258,300,258,300,True,True,False
567,258,258,300,258,300,True,True,False
568,258,258,300,258,300,True,True,False
569,258,258,300,258,300,True,True,False
570,258,258,300,258,300,True,True,False
571,258,258,300,258,300,True,True,False
572,258,258,300,258,300,True,True,False
573,258,258,300,258,300,True,True,False
574,258,258,300,258,300,True,True,False
575,258,258,300,258,300,True,True,False
576,258,258,300,258,300,True,True,False
577,258,258,300,258,300,True,True,False
578,258,258,300,258,300,True,True,False
579,258,258,300,258,300,True,True,False
580,258,258,300,258,300,True,True,False
581,258,258,300,258,300,True,True,False
582,258,258,300,258,300,True,True,False
583,258,258,300,258,300,True,True,False
584,258,258,300,258,300,True,True,False
585,258,258,300,258,300,True,True,False
586,258,258,300,258,300,True,True,False
587,258,258,300,258,300,True,True,False
588,258,258,300,258,300,True,True,False
589,258,258,300,258,300,True,True,False
590,258,258,300,258,300,True,True,False
591,258,258,300,258,300,True,True,False
592,258,258,300,258,300,True,True,False
593,258,258,300,258,300,True,True,False
594,258,258,300,258,300,True,True,False
595,258,258,300,258,300,True,True,False
596,258,258,300,258,300,True,True,False
597,258,258,300,258,300,True,True,False
598,258,258,300,258,300,True,True,False
599,258,258,229,258,229,True,True,False
600,258,258,300,258,300,True,True,False
601,258,258,300,258,300,True,True,False
602,258,258,300,258,300,True,True,False
603,258,258,300,258,300,True,True,False
604,258,258,300,258,300,True,True,False
605,258,258,300,258,300,True,True,False
606,258,258,300,258,300,True,True,False
607,258,258,300,258,300,True,True,False
608,258,258,300,258,300,True,True,False
609,258,258,300,258,300,True,True,False
610,258,258,300,258,300,True,True,False
611,258,258,300,258,300,True,True,False
612,258,258,300,258,300,True,True,False
613,258,258,300,258,300,True,True,False
614,258,258,300,258,300,True,True,False
615,258,258,300,258,300,True,True,False
616,258,258,300,258,300,True,True,False
617,258,258,300,258,300,True,True,False
618,258,258,300,258,300,True,True,False
619,258,258,300,258,300,True,True,False
620,258,258,300,258,300,True,True,False
621,258,258,300,258,300,True,True,False
622,258,258,300,258,300,True,True,False
623,258,258,300,258,300,True,True,False
624,258,258,300,258,300,True,True,False
625,258,258,300,258,300,True,True,False
626,258,258,300,258,300,True,True,False
627,258,258,300,258,300,True,True,False
628,258,258,300,258,300,True,True,False
629,258,258,300,258,300,True,True,False
630,258,258,300,258,300,True,True,False
631,258,258,300,258,300,True,True,False
632,258,258,300,258,300,True,True,False
633,258,258,300,258,300,True,True,False
634,258,258,299,258,299,True,True,False
635,258,258,300,258,300,True,True,False
636,258,258,300,258,300,True,True,False
637,258,258,300,255,300,True,True,False
638,258,258,300,257,299,True,True,False
639,258,258,300,258,300,True,True,False
640,258,258,286,257,286,True,True,False
641,258,258,263,258,263,True,True,False
642,258,258,300,258,300,True,True,False
643,258,258,300,258,300,True,True,False
644,258,258,299,258,299,True,True,False
645,258,258,300,258,300,True,True,False
646,258,258,300,258,300,True,True,False
647,258,258,300,258,300,True,True,False
648,258,258,300,258,300,True,True,False
649,258,258,300,258,300,True,True,False
650,258,258,300,258,300,True,True,False
651,258,258,300,258,300,True,True,False
652,258,258,300,258,300,True,True,False
653,258,258,300,258,300,True,True,False
654,258,258,300,258,300,True,True,False
655,258,258,300,258,300,True,True,False
656,258,258,300,258,300,True,True,False
657,258,258,300,258,300,True,True,False
658,258,258,300,258,300,True,True,False
659,258,258,300,258,300,True,True,False
660,258,258,300,258,300,True,True,False
661,258,258,290,258,290,True,True,False
662,258,258,250,258,250,True,True,False
663,258,258,266,258,266,True,True,False
664,258,258,257,258,257,True,True,False
665,258,258,300,258,300,True,True,False
666,258,258,300,258,300,True,True,False
667,258,258,300,258,300,True,True,False
668,258,258,272,258,272,True,True,False
669,258,258,300,258,300,True,True,False
670,258,258,295,258,295,True,True,False
671,258,258,300,258,300,True,True,False
672,258,258,290,258,290,True,True,False
673,258,258,300,258,300,True,True,False
674,258,258,300,258,300,True,True,False
675,258,258,300,258,300,True,True,False
676,258,258,300,258,300,True,True,False
677,258,258,300,258,300,True,True,False
678,258,258,300,258,300,True,True,False
679,258,258,300,258,300,True,True,False
680,258,258,300,258,300,True,True,False
681,258,258,300,258,300,True,True,False
682,258,258,300,258,300,True,True,False
683,258,258,300,258,300,True,True,False
684,258,258,300,258,300,True,True,False
685,258,258,300,258,300,True,True,False
686,258,258,300,258,300,True,True,False
687,258,258,300,258,300,True,True,False
688,258,258,300,258,300,True,True,False
689,258,258,300,258,300,True,True,False
690,258,258,300,258,300,True,True,False
691,258,258,300,258,300,True,True,False
692,258,258,261,257,261,True,True,False
693,258,258,300,258,300,True,True,False
694,258,258,300,257,300,True,True,False
695,258,258,300,258,300,True,True,False
696,258,258,300,245,296,True,True,False
697,258,258,300,258,296,True,True,False
698,258,258,300,258,300,True,True,False
699,258,258,300,258,300,True,True,False
700,258,258,289,258,289,True,True,False
701,258,258,300,258,300,True,True,False
702,258,258,300,258,300,True,True,False
703,258,258,300,258,300,True,True,False
704,258,258,300,258,300,True,True,False
705,258,258,300,258,300,True,True,False
706,258,258,297,258,297,True,True,False
707,258,258,300,258,300,True,True,False
708,258,258,300,258,300,True,True,False
709,258,258,300,258,300,True,True,False
710,258,258,300,258,300,True,True,False
711,258,258,300,258,300,True,True,False
712,258,258,300,258,300,True,True,False
713,258,258,291,258,291,True,True,False
714,258,258,300,258,300,True,True,False
715,258,258,300,258,300,True,True,False
716,258,258,300,258,300,True,True,False
717,258,258,300,258,300,True,True,False
718,258,258,300,258,300,True,True,False
719,258,258,300,258,300,True,True,False
720,258,258,300,258,300,True,True,False
721,258,258,300,258,300,True,True,False
722,258,258,300,258,300,True,True,False
723,258,258,300,258,300,True,True,False
724,258,258,300,258,300,True,True,False
725,258,258,300,258,300,True,True,False
726,258,258,300,258,300,True,True,False
727,258,258,300,258,300,True,True,False
728,258,258,296,258,296,True,True,False
729,258,258,300,258,300,True,True,False
730,258,258,269,258,269,True,True,False
731,258,258,300,258,300,True,True,False
732,258,258,300,258,300,True,True,False
733,258,258,300,258,300,True,True,False
734,258,258,300,258,300,True,True,False
735,258,258,300,258,300,True,True,False
736,258,258,300,258,300,True,True,False
737,258,258,300,258,300,True,True,False
738,258,258,300,258,300,True,True,False
739,258,258,300,258,300,True,True,False
740,258,258,267,258,267,True,True,False
741,258,258,300,258,300,True,True,False
742,258,258,291,258,291,True,True,False
743,258,258,300,258,300,True,True,False
744,258,258,300,258,300,True,True,False
745,258,258,300,258,300,True,True,False
746,258,258,300,258,300,True,True,False
747,258,258,300,258,300,True,True,False
748,258,258,300,258,300,True,True,False
749,258,258,300,258,300,True,True,False
750,258,258,300,258,300,True,True,False
751,258,258,300,258,300,True,True,False
752,258,258,300,258,300,True,True,False
