cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_px,length_std_px,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a-58.50_x400_lp300,11,33,0.8560677642555046,0.41888726306586843,-58.4,0.07713892158398811,305.4999986074889,10.213763029472412,,,400.0000002363278,1.2467142564923882e-06,0.5883636363636363,0.6941106825567348,0.0
a-60.00_x400_lp300,11,22,0.8554146523025117,0.4174287481101034,-59.9,0.038569460791994054,300.73948735559304,9.941652734015243,,,400.0000003195391,1.5067056288352513e-06,0.5989090909090908,0.7019526034593978,0.0
a-59.75_x400_lp300,11,22,0.8552060822149204,0.4174443165817824,-59.8,0.04979295977319408,301.3537433554466,9.939001371185249,,,399.99999987953754,1.2656785142349555e-06,0.5974545454545453,0.6989152798014511,0.0
a-59.50_x400_lp300,11,33,0.8543854444776935,0.41742506624197234,-59.5,0.08999540851465279,302.2867715891201,9.917708751886428,,,399.99999995501594,1.3255263648808607e-06,0.5967272727272728,0.6851185484039031,0.0
a-28.25_x400_lp550,9,16,0.850037838511608,0.4933561279784395,-28.3,0.049690399499996034,541.628780806043,18.595851814652463,,,399.9999999709497,3.1260292614299897e-07,0.404,0.764722559568789,0.0
a-32.50_x400_lp500,8,24,0.834451994625105,0.5174739944293067,-32.5,0.0661437827766157,505.3939954949617,13.592993189356097,,,399.99999985401575,3.174640425214254e-07,0.47025,0.7078298885861327,0.0
a-32.25_x400_lp500,8,16,0.8326843069581458,0.5153627119744957,-32.3,0.04841229182758996,508.9164946597896,13.681273438385434,,,400.00000016297275,4.795605691401845e-07,0.46699999999999997,0.7180542394899119,0.0
a-51.00_x400_lp350,9,25,0.8267386193612881,0.4686157347561394,-50.9,0.03142696805273589,348.51452482758197,9.988608270372891,,,400.000000229502,1.1121826862676385e-06,0.5664444444444445,0.6949399550397142,0.0
a-29.00_x400_lp550,8,24,0.8102385757520274,0.493877986942743,-29.05,0.08291561975888617,561.532676847139,15.84879036430329,,,400.00000004204776,2.2067982283817696e-07,0.41300000000000003,0.7131597388548594,0.0
a-28.75_x400_lp550,8,16,0.808888557687563,0.49180494683969433,-28.75,0.05000000000000071,564.2282439828488,15.331113217051607,,,400.0000000680616,3.035954275627565e-07,0.40425,0.7338489367938867,0.0
a-26.25_x400_lp600,8,16,0.8041060359763803,0.48728954001276104,-26.2,0.0484122918275934,616.0882951981494,17.72206559863149,,,400.00000041150327,6.276099571058745e-07,0.391,0.7245908002552208,0.0
a-26.50_x400_lp600,8,20,0.8035074167114417,0.48738360463602276,-26.55,0.0927024810886971,608.8073565667135,16.177106422457804,,,399.9999997420889,5.063088934941843e-07,0.39575,0.7085220927204541,0.0
a-26.00_x400_lp600,8,20,0.803409583210213,0.4874752244097317,-26.05,0.0927024810886971,621.6380363112055,17.692732621957184,,,400.0000001797959,5.287154410098775e-07,0.39125,0.7238544881946329,0.0
a-24.00_x400_lp650,8,21,0.7889707613879003,0.47205667579017263,-24.1,0.03307189138830785,666.7959185589618,19.395812596048277,,,400.0000006524963,8.535511260608864e-07,0.35475,0.7159835158034518,0.0
a-51.25_x400_lp350,8,16,0.784270743216477,0.46600239253426035,-51.2,0.033071891388305505,347.1253322067866,8.56169192013774,,,399.9999997488271,8.355862597380461e-07,0.5660000000000001,0.707391450506192,0.0
a-56.75_x400_lp300,9,17,0.7822960749332222,0.4244900978409962,-56.8,0.049690399499992495,308.0347372153763,9.601719342193258,,,400.0000003649916,1.3717272352570331e-06,0.5755555555555555,0.7055931588162498,0.0
a-51.50_x400_lp350,8,24,0.7809396008143277,0.46266551745439055,-51.4,0.03307189138830785,346.3924893090059,8.515830498373884,,,399.99999984981923,1.2971668108434063e-06,0.56375,0.7074925858151815,0.0
a-22.25_x400_lp700,8,12,0.7778618916524258,0.46135836400118724,-22.2,0.0484122918275934,719.3308658125972,20.22581209767644,,,400.00000013328867,1.0041884467661604e-06,0.3275,0.7116672800237448,0.0
a-51.75_x400_lp350,8,16,0.7764281213569135,0.4583600033471057,-51.7,0.04330127018921947,344.94362744305795,8.526852691261174,,,399.9999996629473,1.1164603657907975e-06,0.5602499999999999,0.7176315960839165,0.0
a-52.00_x400_lp350,8,24,0.772520290582044,0.4554687169888552,-51.95,0.0927024810886971,343.9896565872153,8.755014280298129,,,399.9999994987074,9.486941182319984e-07,0.55975,0.7135985998368745,0.0
a-52.25_x400_lp350,8,15,0.7699277714407983,0.45185376714184255,-52.2,0.04330127018921947,342.57635087255767,8.479762378079165,,,400.0000000045944,5.564622401467615e-07,0.5569999999999999,0.7188104676943081,0.0
a-56.50_x400_lp300,8,23,0.7432178418186679,0.4258708997851618,-56.5,0.07806247497998109,308.725884000449,8.734467735154515,,,399.9999997990837,1.3884099487995398e-06,0.5775,0.6904865380154463,0.0
